name,height,mass,hair_color,skin_color,eye_color,birth_year,birth_era,birth_place,death_year,death_era,death_place,sex,gender,pronoun,homeworld,species,occupation,cybernetics,abilities,equipment,vehicles,starships,birth_date,death_date
Shaak Ti,178,57,none,"red, white, blue",black,,,,3,BBY,Felucia,female,feminine,she/her,Shili,Togruta,Jedi Master,,"Lightsaber abilities, Force powers",Lightsabers,,,,1812-06-21 12:00:00
Grievous,216,159,none,"brown, white",gold,,,,19,BBY,Utapau,male,masculine,he/him,Kalee,Kaleesh,Jedi Hunter,Completely cebernetic except for brain,Lightsaber abilities,Lightsabers,Tsmeu-6 personal wheel bike,Belbullab-22 starfighter,,1796-05-07 12:00:00
Tarfful,234,136,brown,brown,blue,,,,,,,male,masculine,he/him,Kashyyyk,Wookiee,Wookiee chieftain,,,Weapons,,,,
Raymus Antilles,188,79,brown,light,brown,,,,0,BBY,Tantive IV,male,masculine,he/him,Alderaan,Human,Captain of the CR90 corvette,,Piloting,,,,,1815-06-30 12:00:00
Sly Moore,178,48,none,pale,white,,,,18,BBY,,female,feminine,she/her,Umbara,Umbaran,Personal aide ,,"Politics, Force powers",,,,,1797-05-10 12:00:00
Tion Medon,206,80,none,"gray, red",black,,,,,,,male,masculine,he/him,Utapau,Pau'an,Port Administrator,,Politics,Clothing,,,,
Finn,178,73,black,dark,brown,11,ABY,,,,,male,masculine,he/him,,Human,General in the Rebel Alliance,,,,,,1826-07-30 12:00:00,
Rey Skywalker,170,54,brown,light,hazel,15,ABY,Hyperkarn,35,ABY,Exegol,female,feminine,she/her,Jakku,Human,Jedi,,"Lightsaber abilities, Force powers, Force lightning","Hellhound two, Vehicles, Tools and wapons, Lightsabers",,,1830-08-10 12:00:00,1850-10-04 12:00:00
Poe Dameron,172,80,dark brown,tan,brown,2,ABY,Yavin 4,,,,male,masculine,he/him,Yavin 4,Human,General in the Rebel Alliance,,Piloting,Clothing,,X-wing,1817-07-05 12:00:00,
BB-8,67,18,none,"white, orange",red,29,ABY,,,,,none,masculine,he/him,Hosnian Prime,Droid,Astromech droid,,,"Grappling spike launcher, Welding torch, Holoprojector, Arc welder",,,1844-09-17 12:00:00,
Captain Phasma,200,76,gold,light,blue,6,ABY,Parnassos,34,ABY,Crait system,female,feminine,she/her,Parnassos,Human,Stormtrooper commander,,Shooting,"Rust-read war mask, Armor coated, Weapons, Blasters",,,1821-07-16 12:00:00,1849-10-01 12:00:00
